links,relevance
http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,2
http://www.cs.ucl.ac.uk/mobile/students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/mobile/teaching_learning/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/current_students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/teaching_learning/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/degrees/,2
http://www.cs.ucl.ac.uk/degrees/,2
http://www.cs.ucl.ac.uk/admissions/,2
http://www.cs.ucl.ac.uk/mobile/prospective_students/,2
http://www.cs.ucl.ac.uk/prospective_students/,2
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_computer_science_mahidol_university_thailand/,1
http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,2
http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/welcome_back/,1
http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/welcome_back/,1
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/fourth_year/welcome_back/,1
http://www.cs.ucl.ac.uk/prospective_students/msc_computer_science_mahidol_university_thailand/,0
http://www.cs.ucl.ac.uk/mobile/prospective_students/common_pages/ug_pg/why_study_here/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/comp206p_mathematics_and_statistics/,2
http://www.cs.ucl.ac.uk/degrees/csexcel/,1
http://www.cs.ucl.ac.uk/mobile/prospective_students/phd_programme/course_information/,2
http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/206p_mathematics_and_statistics/,2