link,relevance
http://www.cs.ucl.ac.uk/cs_people/J.Wang.html/,2
http://www.cs.ucl.ac.uk/people/J.Wang.html/,2
http://www.cs.ucl.ac.uk/news/article/dr-jun-wang-wins-yahoo-prep-award/,1
http://www.cs.ucl.ac.uk/archive/article/dr-jun-wang-wins-yahoo-prep-award/,1
http://www.cs.ucl.ac.uk/mobile/archive/article/best-paper-prize-for-cs-academic/,1
http://www.cs.ucl.ac.uk/mobile/archive/article/dr-jun-wang-wins-yahoo-prep-award/,1
http://www.cs.ucl.ac.uk/archive/article/best-paper-prize-for-cs-academic/,1
http://www.cs.ucl.ac.uk/mobile/archive/article/media-futures-group-research-wins-best-paper-award/,1
http://www.cs.ucl.ac.uk/news/article/media-futures-group-research-wins-best-paper-award/,1
http://www.cs.ucl.ac.uk/archive/article/media-futures-group-research-wins-best-paper-award/,1
http://www.cs.ucl.ac.uk/mobile/students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/mobile/archive/browse/16/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/archive/browse/16/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/mobile/archive/article/acm-mobicom-2014-best-presentation/,0
http://www.cs.ucl.ac.uk/mobile/students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/news/article/computer-science-spinout-is-a-winner-at-ucl-business-annual-summer-reception/,0
http://www.cs.ucl.ac.uk/mobile/students/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0
http://www.cs.ucl.ac.uk/news/article/acm-mobicom-2014-best-presentation/,0
http://www.cs.ucl.ac.uk/computer_science_news/?cHash=29cb5e0530d6bfd2e9c3ea5de48fe1f4&tx_ttnews%5Btt_news%5D=1280,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0
http://www.cs.ucl.ac.uk/mobile/archive/article/computer-science-spinout-is-a-winner-at-ucl-business-annual-summer-reception/,0
http://www.cs.ucl.ac.uk/archive/article/acm-mobicom-2014-best-presentation/,0