linka,relevance
http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,2
http://www.cs.ucl.ac.uk/mobile/students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/mobile/teaching_learning/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/current_students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/teaching_learning/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/mobile/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_computer_science_mahidol_university_thailand/,0
http://www.cs.ucl.ac.uk/?id=7334,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/international_programme/,0
http://www.cs.ucl.ac.uk/mobile/degrees/,1
http://www.cs.ucl.ac.uk/degrees/,1
http://www.cs.ucl.ac.uk/admissions/,2
http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,1
http://www.cs.ucl.ac.uk/mobile/prospective_students/,1
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/,1
http://www.cs.ucl.ac.uk/prospective_students/,2
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/,1
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,1
http://www0.cs.ucl.ac.uk/staff/A.Sztrajman/,0
http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,1
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/fourth_year/,1
http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/,1
http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,1
http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/second_year/,1